Sunday or Feast,First Reading,Responsorial Psalm,Second Reading,"Verse before
the Gospel",Gospel
1st Sunday of Lent – A,Gen 2:7-9; 3:1-7,"Ps 51:3-4, 5-6, 12-13, 14+17","Rom 5:12-19 or 5:12, 17-19",Matt 4:4b,Matt 4:1-11 – Temptation
2nd Sunday of Lent – A,Gen 12:1-4a (diff),"Ps 33:4-5, 18-19, 20+22",2 Tim 1:8b-10,cf. Matt 17:5,Matt 17:1-9 – Transfiguration
3rd Sunday of Lent – A,Exod 17:3-7,"Ps 95:1-2, 6-7b, 7c-9","Rom 5:1-2, 5-8",cf. John 4:42+15,"John 4:5-42 – Samaritan Woman or 4:5-15, 19b-26, 39a, 40-42"
4th Sunday of Lent – A,"1 Sam 16:1b, 6-7, 10-13a","Ps 23:1-3a, 3b-4, 5, 6",Eph 5:8-14,John 8:12,"John 9:1-41 – Man Born Blind or 9:1, 6-9, 13-17, 34-38"
5th Sunday of Lent – A,Ezek 37:12-14,"Ps 130:1-2, 3-4, 5-6, 7-8",Rom 8:8-11,John 11:25a+26,"John 11:1-45 – Raising of Lazarus or 11:3-7, 17, 20-27, 33b-45"
1st Sunday of Lent – B,Gen 9:8-15,"Ps 25:4-5, 6-7, 8-9",1 Pet 3:18-22,Matt 4:4b,Mark 1:12-15 – Temptation
2nd Sunday of Lent – B,"Gen 22:1-2, 9a, 10-13, 15-18","Ps 116:10+15, 16-17, 18-19",Rom 8:31b-34,cf. Matt 17:5,Mark 9:2-10 – Transfiguration
3rd Sunday of Lent – B,"Exod 20:1-17 or 20:1-3, 7-8, 12-17","Ps 19:8, 9, 10, 11",1 Cor 1:22-25,John 3:16,John 2:13-25 – Incident in Temple
4th Sunday of Lent – B,"2 Chr 36:14-16, 19-23 (diff)","Ps 137:1-2, 3, 4-5, 6",Eph 2:4-10,John 3:16,John 3:14-21 – Jesus & Nicodemus
5th Sunday of Lent – B,Jer 31:31-34,"Ps 51:3-4, 12-13, 14-15",Heb 5:7-9,John 12:26,John 12:20-33 – The Hour Has Come
1st Sunday of Lent – C,Deut 26:4-10 (diff),"Ps 91:1-2, 10-11, 12-13, 14-15",Rom 10:8-13,Matt 4:4b,Luke 4:1-13 – Temptation
2nd Sunday of Lent – C,"Gen 15:5-12, 17-18","Ps 27:1, 7-8a, 8b-9, 13-14",Phil 3:17–4:1 or 3:20–4:1,cf. Matt 17:5,Luke 9:28b-36 – Transfiguration
3rd Sunday of Lent – C,"Exod 3:1-8a, 13-15","Ps 103:1-2, 3-4, 6-7, 8+11","1 Cor 10:1-6, 10-12",Matt 4:17,Luke 13:1-9 – On Repentance
4th Sunday of Lent – C,"Josh 5:9a, 10-12","Ps 34:2-3, 4-5, 6-7",2 Cor 5:17-21,Luke 15:18,"Luke 15:1-3, 11-32 – Prodigal Son"
5th Sunday of Lent – C,Isa 43:16-21,"Ps 126:1-2a, 2b-3, 4-5, 6",Phil 3:8-14,Joel 2:12-13,John 8:1-11 – Adulterous Woman
Palm Sunday of the Passion of the Lord: At the Procession with Palms – ABC,x,x,x,x,"A: Matt 21:1-11
B: Mark 11:1-10 or John 12:12-16
C: Luke 19:28-40"
Palm Sunday: At the Mass – ABC,Isa 50:4-7,"Ps 22:8-9, 17-18, 19-20, 23-24",Phil 2:6-11,Phil 2:8-9,"A: Matt 26:14 – 27:66  or 27:11-54
B: Mark 14:1 – 15:47 or 15:1-39
C: Luke 22:14 – 23:56 or 23:1-49"
